1989762,tblD,14500,3,13.09.1996,184349
1989763,tblE,24550,2,17.09.1996,183105
1989764,chrC,14500,1,25.09.1996,183689
1989765,bedF,105500,1,26.09.1996,183410
1989766,frmA,19055,1,14.09.1996,183842
1989767,bedE,49505,1,06.09.1996,183504
1989768,vse1,7395,3,26.09.1996,182966
1989769,cseB,93215,3,23.09.1996,183770
1989770,bedD,51790,1,17.09.1996,183402
1989771,vse4,8852,1,22.09.1996,183379
1989772,lmpB,23415,1,11.09.1996,183071
1989773,sofF,32550,1,24.09.1996,184126
1989774,drsB,43595,2,11.09.1996,183911
1989775,tblA,14995,2,22.09.1996,183056
1989776,frmA,19055,1,26.09.1996,184292
1989777,dskB,34550,3,20.09.1996,184508
1989778,cseB,93215,1,21.09.1996,183063
1989779,frmA,19055,2,24.09.1996,183809
1989780,cseD,82450,2,10.09.1996,183143
1989781,tblA,14995,1,14.09.1996,183650
1989782,bedC,82500,2,14.09.1996,183508
1989783,chrC,14500,2,15.09.1996,183356
1989784,lmpD,4995,3,17.09.1996,184256
1989785,bedC,82500,2,14.09.1996,183305
1989786,drsC,41525,1,29.09.1996,183152
1989787,lmpD,4995,3,14.09.1996,183148
1989788,frmB,22485,2,27.09.1996,183248
1989789,drsA,34500,2,01.09.1996,184206
1989790,sofB,49500,2,27.09.1996,183811
1989791,cseA,13245,3,08.09.1996,184229
1989792,cseA,13245,1,14.09.1996,184144
1989793,dskB,34550,3,28.09.1996,184295
1989794,frmA,19055,3,16.09.1996,183388
1989795,dskA,15905,2,04.09.1996,184291
1989796,sofF,32550,1,12.09.1996,183400
1989797,lmpA,32415,3,10.09.1996,183023
1989798,dskB,34550,2,04.09.1996,184131
1989799,dskB,34550,2,09.09.1996,183885
1989800,cseD,82450,1,01.09.1996,183783
1989801,bedE,49505,3,08.09.1996,183828
1989802,vse3,12459,2,24.09.1996,183606
1989803,cseB,93215,3,25.09.1996,183303
1989804,sofB,49500,2,07.09.1996,184048
1989805,vse1,7395,3,21.09.1996,182950
1989806,tblC,40595,3,06.09.1996,184086
1989807,cseB,93215,3,11.09.1996,184406
1989808,bedB,59590,3,28.09.1996,183814
1989809,bedA,41590,1,04.09.1996,183594
1989810,vse4,8852,1,12.09.1996,184283
1989811,bedF,105500,1,30.09.1996,183030
1989812,vse4,8852,2,30.09.1996,184174
1989813,vse2,9915,2,14.09.1996,183766
1989814,drsC,41525,1,06.09.1996,183646
1989815,lmpB,23415,2,14.09.1996,184232
1989816,drsB,43595,3,24.09.1996,184238
1989817,tblC,40595,1,06.09.1996,183618
1989818,tblD,14500,2,09.09.1996,184435
1989819,vse3,12459,1,26.09.1996,183072
1989820,vse2,9915,1,20.09.1996,182974
1989821,vse2,9915,1,26.09.1996,183493
1989822,lmpC,4295,1,12.09.1996,184442
1989823,vse1,7395,3,03.09.1996,183856
1989824,vse1,7395,1,19.09.1996,183261
1989825,tblD,14500,1,14.09.1996,184049
1989826,chrA,4595,3,07.09.1996,184439
1989827,drsB,43595,2,09.09.1996,184382
1989828,sofF,32550,2,03.09.1996,183107
1989829,chrB,4990,1,04.09.1996,183659
1989830,bedC,82500,1,13.09.1996,183287
1989831,tblB,24590,1,30.09.1996,183606
1989832,lmpA,32415,3,23.09.1996,183077
1989833,lmpC,4295,3,23.09.1996,184532
1989834,cseD,82450,1,11.09.1996,183812
1989835,drsA,34500,1,17.09.1996,183411
1989836,lmpD,4995,2,16.09.1996,183759
1989837,vse3,12459,1,01.09.1996,183462
1989838,chrA,4595,2,23.09.1996,182953
1989839,bedC,82500,2,19.09.1996,183906
1989840,lmpB,23415,3,07.09.1996,183120
1989841,sofD,46100,1,05.09.1996,183958
1989842,vse1,7395,2,26.09.1996,183315
1989843,chrC,14500,1,18.09.1996,183136
1989844,bedE,49505,1,13.09.1996,183987
1989845,lmpA,32415,3,26.09.1996,184306
1989846,bedB,59590,2,05.09.1996,183749
1989847,bedD,51790,1,25.09.1996,184382
1989848,bedC,82500,1,17.09.1996,183616
1989849,frmA,19055,1,29.09.1996,183063
1989850,sofB,49500,2,11.09.1996,183936
1989851,tblA,14995,3,17.09.1996,183348
1989852,vse2,9915,2,19.09.1996,183118
1989853,cseA,13245,3,14.09.1996,184180
1989854,lmpD,4995,1,01.09.1996,184232
1989855,vse3,12459,3,10.09.1996,183584
1989856,sofC,51500,1,08.09.1996,183828
1989857,bedC,82500,1,15.09.1996,183723
1989858,bedD,51790,3,16.09.1996,183311
1989859,vse1,7395,2,29.09.1996,183391
1989860,drsD,84590,2,28.09.1996,183307
1989861,sofB,49500,3,13.09.1996,184239
1989862,sofD,46100,2,16.09.1996,184539
1989863,bedD,51790,1,26.09.1996,184045
1989864,tblA,14995,2,30.09.1996,184208
1989865,sofC,51500,2,29.09.1996,183459
1989866,drsB,43595,2,13.09.1996,184395
1989867,tblD,14500,1,03.09.1996,183727
1989868,dskA,15905,1,15.09.1996,183096
1989869,sofF,32550,3,09.09.1996,183325
1989870,drsD,84590,3,27.09.1996,184024
1989871,lmpC,4295,1,16.09.1996,184210
1989872,sofD,46100,3,23.09.1996,183029
1989873,vse1,7395,1,03.09.1996,184125
1989874,lmpA,32415,3,18.09.1996,183465
1989875,tblB,24590,3,09.09.1996,183305
1989876,cseC,38450,3,22.09.1996,183692
1989877,vse2,9915,3,25.09.1996,184333
1989878,lmpA,32415,3,26.09.1996,183112
1989879,bedA,41590,3,22.09.1996,183120
1989880,tblB,24590,3,12.09.1996,183858
1989881,bedB,59590,1,16.09.1996,184291
1989882,tblE,24550,1,26.09.1996,183661
1989883,lmpD,4995,2,16.09.1996,182996
1989884,lmpB,23415,1,03.09.1996,183569
1989885,chrA,4595,1,23.09.1996,183389
1989886,tblA,14995,3,30.09.1996,183223
1989887,vse3,12459,3,03.09.1996,184216
1989888,sofC,51500,1,07.09.1996,183536
1989889,dskB,34550,1,02.09.1996,183308
1989890,cseC,38450,1,25.09.1996,184276
1989891,vse4,8852,2,27.09.1996,184149
1989892,drsA,34500,3,07.09.1996,183031
1989893,sofD,46100,1,02.09.1996,183263
1989894,chrC,14500,2,14.09.1996,184143
1989895,dskA,15905,1,28.09.1996,183997
1989896,tblE,24550,1,11.09.1996,184355
1989897,cseC,38450,2,20.09.1996,183013
1989898,vse1,7395,2,30.09.1996,184035
1989899,dskB,34550,2,10.09.1996,184495
1989900,drsD,84590,3,11.09.1996,183878
1989901,tblA,14995,1,10.09.1996,183396
1989902,cseC,38450,3,27.09.1996,184544
1989903,lmpC,4295,1,17.09.1996,184063
1989904,tblB,24590,1,04.09.1996,184139
1989905,lmpC,4295,1,23.09.1996,183053
1989906,frmA,19055,3,14.09.1996,183724
1989907,bedD,51790,3,19.09.1996,184273
1989908,bedB,59590,2,17.09.1996,183370
1989909,bedC,82500,1,05.09.1996,183044
1989910,sofF,32550,1,05.09.1996,183741
1989911,cseB,93215,1,07.09.1996,184151
1989912,vse3,12459,3,02.09.1996,184314
1989913,tblD,14500,2,06.09.1996,183014
1989914,bedF,105500,1,13.09.1996,184429
1989915,bedB,59590,1,08.09.1996,183198
1989916,chrB,4990,3,04.09.1996,183372
1989917,sofA,34500,2,12.09.1996,183887
1989918,drsD,84590,2,23.09.1996,184323
1989919,drsC,41525,1,29.09.1996,183694
1989920,tblC,40595,3,12.09.1996,184370
1989921,drsC,41525,3,02.09.1996,183447
1989922,tblD,14500,2,21.09.1996,184418
1989923,dskB,34550,2,25.09.1996,183700
1989924,vse3,12459,2,26.09.1996,184216
1989925,bedF,105500,1,14.09.1996,184202
1989926,vse1,7395,1,09.09.1996,183169
1989927,sofA,34500,1,22.09.1996,183646
1989928,sofC,51500,3,22.09.1996,184346
1989929,sofC,51500,1,11.09.1996,184259
1989930,sofC,51500,1,12.09.1996,183462
1989931,tblB,24590,3,08.09.1996,183378
1989932,chrB,4990,2,04.09.1996,184478
1989933,dskA,15905,2,17.09.1996,183319
1989934,cseD,82450,2,16.09.1996,183421
1989935,bedA,41590,1,16.09.1996,183364
1989936,sofD,46100,3,19.09.1996,184272
1989937,cseB,93215,1,11.09.1996,183926
1989938,lmpD,4995,3,22.09.1996,183682
1989939,cseC,38450,2,07.09.1996,183034
1989940,bedA,41590,2,18.09.1996,183666
1989941,lmpD,4995,1,15.09.1996,184492
1989942,sofC,51500,1,06.09.1996,182999
1989943,sofB,49500,2,07.09.1996,183150
1989944,vse4,8852,1,15.09.1996,184467
1989945,sofA,34500,3,06.09.1996,184516
1989946,tblD,14500,1,11.09.1996,183833
1989947,sofE,50500,3,06.09.1996,183711
1989948,frmA,19055,2,17.09.1996,183239
1989949,drsA,34500,3,30.09.1996,184230
1989950,tblE,24550,2,25.09.1996,183443
1989951,chrA,4595,2,12.09.1996,184192
1989952,sofE,50500,1,10.09.1996,184515
1989953,bedB,59590,1,08.09.1996,183543
1989954,sofC,51500,2,02.09.1996,183840
1989955,cseD,82450,3,22.09.1996,183076
1989956,bedE,49505,2,26.09.1996,183377
1989957,cseD,82450,3,26.09.1996,183609
1989958,bedD,51790,3,01.09.1996,184082
1989959,sofB,49500,2,30.09.1996,183368
1989960,tblD,14500,2,04.09.1996,184112
1989961,chrC,14500,3,16.09.1996,184516
1989962,drsD,84590,3,02.09.1996,184064
1989963,dskA,15905,3,06.09.1996,184380
1989964,lmpD,4995,3,28.09.1996,183365
1989965,vse2,9915,1,03.09.1996,183938
1989966,vse3,12459,2,08.09.1996,183340
1989967,frmB,22485,1,25.09.1996,183699
1989968,chrA,4595,2,01.09.1996,183290
1989969,tblC,40595,3,28.09.1996,184025
1989970,vse2,9915,1,27.09.1996,184368
1989971,vse4,8852,3,19.09.1996,183844
1989972,dskA,15905,2,02.09.1996,183347
1989973,bedB,59590,3,26.09.1996,183954
1989974,cseC,38450,2,01.09.1996,183303
1989975,tblD,14500,1,07.09.1996,183885
1989976,tblA,14995,1,30.09.1996,184019
1989977,cseB,93215,2,11.09.1996,183751
1989978,cseC,38450,3,28.09.1996,184154
1989979,tblD,14500,2,18.09.1996,183023
1989980,tblE,24550,2,13.09.1996,182940
1989981,chrB,4990,2,25.09.1996,184078
1989982,cseD,82450,1,19.09.1996,183803
1989983,sofF,32550,2,08.09.1996,183946
1989984,vse4,8852,1,08.09.1996,183393
1989985,bedA,41590,3,20.09.1996,183550
1989986,bedF,105500,2,17.09.1996,183501
1989987,lmpB,23415,2,17.09.1996,183201
1989988,lmpB,23415,3,26.09.1996,184215
1989989,vse4,8852,3,26.09.1996,182938
1989990,chrB,4990,3,22.09.1996,184196
1989991,frmA,19055,3,13.09.1996,183700
1989992,cseD,82450,3,14.09.1996,183998
1989993,drsD,84590,3,19.09.1996,183840
1989994,cseC,38450,3,20.09.1996,184192
1989995,tblC,40595,3,18.09.1996,184160
1989996,bedF,105500,3,29.09.1996,183036
1989997,sofC,51500,2,21.09.1996,184196
1989998,bedF,105500,3,05.09.1996,183869
1989999,bedC,82500,1,27.09.1996,184540
1990000,cseD,82450,3,15.09.1996,183925
1990001,chrB,4990,3,23.09.1996,184205
1990002,drsB,43595,1,30.09.1996,182971
1990003,tblB,24590,3,17.09.1996,183835
1990004,frmB,22485,1,28.09.1996,183055
1990005,tblC,40595,1,26.09.1996,184102
1990006,chrC,14500,2,02.09.1996,183108
1990007,sofA,34500,2,08.09.1996,184402
1990008,lmpA,32415,2,22.09.1996,183966
1990009,drsA,34500,3,17.09.1996,183610
1990010,vse4,8852,3,13.09.1996,183408
1990011,tblA,14995,1,09.09.1996,184244
1990012,drsC,41525,3,25.09.1996,184372
1990013,cseC,38450,2,25.09.1996,184546
1990014,bedE,49505,2,27.09.1996,183046
1990015,vse3,12459,3,29.09.1996,183547
1990016,vse3,12459,1,29.09.1996,183080
1990017,drsA,34500,1,21.09.1996,183061
1990018,dskB,34550,2,29.09.1996,183930
1990019,tblC,40595,1,09.09.1996,183780
1990020,tblC,40595,3,05.09.1996,183571
1990021,vse3,12459,2,21.09.1996,183191
1990022,sofC,51500,3,03.09.1996,183435
1990023,vse3,12459,1,20.09.1996,184443
1990024,dskB,34550,1,22.09.1996,182945
1990025,lmpD,4995,2,09.09.1996,184053
1990026,lmpB,23415,2,08.09.1996,183931
1990027,chrA,4595,2,27.09.1996,183060
1990028,cseC,38450,2,09.09.1996,184213
1990029,tblE,24550,2,17.09.1996,184462
1990030,dskB,34550,1,14.09.1996,184152
1990031,sofF,32550,2,07.09.1996,183947
1990032,tblB,24590,1,20.09.1996,184418
1990033,dskB,34550,3,03.09.1996,183359
1990034,frmA,19055,3,09.09.1996,183846
1990035,lmpC,4295,3,30.09.1996,183823
1990036,lmpC,4295,1,29.09.1996,183875
1990037,vse4,8852,3,14.09.1996,183665
1990038,cseC,38450,2,25.09.1996,183567
1990039,cseD,82450,2,27.09.1996,183052
1990040,bedE,49505,2,27.09.1996,183542
1990041,chrA,4595,2,14.09.1996,184020
1990042,bedA,41590,1,07.09.1996,183910
1990043,drsB,43595,1,24.09.1996,184500
1990044,sofC,51500,1,14.09.1996,184436
1990045,bedF,105500,1,15.09.1996,183267
1990046,cseD,82450,1,12.09.1996,183381
1990047,drsB,43595,1,14.09.1996,182976
1990048,chrA,4595,2,07.09.1996,184160
1990049,tblB,24590,2,19.09.1996,184123
1990050,vse1,7395,3,04.09.1996,183549
1990051,lmpD,4995,3,26.09.1996,183727
1990052,vse4,8852,2,21.09.1996,184365
1990053,tblB,24590,2,07.09.1996,183782
1990054,bedC,82500,2,12.09.1996,184246
1990055,lmpA,32415,3,09.09.1996,184050
1990056,dskB,34550,1,28.09.1996,184506
1990057,cseC,38450,1,19.09.1996,184081
1990058,vse4,8852,1,17.09.1996,184194
1990059,tblA,14995,2,12.09.1996,183286
1990060,tblC,40595,2,27.09.1996,182940
1990061,lmpB,23415,2,15.09.1996,183583
1990062,chrB,4990,3,22.09.1996,183425
1990063,dskB,34550,3,23.09.1996,183498
1990064,tblC,40595,1,18.09.1996,184321
1990065,sofB,49500,1,12.09.1996,183829
1990066,sofC,51500,2,30.09.1996,183687
1990067,chrB,4990,3,27.09.1996,183137
1990068,bedB,59590,3,06.09.1996,183692
1990069,sofA,34500,3,11.09.1996,184517
1990070,dskA,15905,2,12.09.1996,184302
1990071,tblB,24590,2,02.09.1996,183812
1990072,drsC,41525,2,12.09.1996,184533
1990073,chrC,14500,1,14.09.1996,183695
1990074,tblA,14995,1,28.09.1996,184541
1990075,chrB,4990,3,09.09.1996,182996
1990076,drsA,34500,2,06.09.1996,183746
1990077,chrC,14500,3,06.09.1996,183638
1990078,tblA,14995,2,09.09.1996,183146
1990079,chrB,4990,2,18.09.1996,183818
1990080,bedA,41590,2,21.09.1996,183303
1990081,cseA,13245,3,11.09.1996,183774
1990082,drsA,34500,2,08.09.1996,184069
1990083,bedD,51790,2,20.09.1996,183514
